INFO 2026-04-06 10:12:36,922 [REQUEST] GET / | User: adhik | IP: 127.0.0.1
INFO 2026-04-06 10:12:36,942 [RESPONSE] GET / | Status: 200 | Duration: 0.03s
INFO 2026-04-06 10:13:00,730 [REQUEST] GET /blahblah | User: adhik | IP: 127.0.0.1
INFO 2026-04-06 10:13:00,745 [RESPONSE] GET /blahblah | Status: 404 | Duration: 0.02s
INFO 2026-04-06 10:14:29,173 [REQUEST] GET /blahblah | User: adhik | IP: 127.0.0.1
INFO 2026-04-06 10:14:29,180 [RESPONSE] GET /blahblah | Status: 404 | Duration: 0.02s
INFO 2026-04-06 10:14:54,634 [REQUEST] GET /robots/ | User: adhik | IP: 127.0.0.1
INFO 2026-04-06 10:14:54,652 [RESPONSE] GET /robots/ | Status: 200 | Duration: 0.03s
INFO 2026-04-06 10:14:57,333 [REQUEST] GET /robots/ | User: adhik | IP: 127.0.0.1
INFO 2026-04-06 10:14:57,340 [RESPONSE] GET /robots/ | Status: 200 | Duration: 0.01s
INFO 2026-04-06 10:14:59,182 [REQUEST] GET /robots/add/ | User: adhik | IP: 127.0.0.1
INFO 2026-04-06 10:14:59,185 [RESPONSE] GET /robots/add/ | Status: 200 | Duration: 0.01s
INFO 2026-04-06 10:15:01,669 [REQUEST] GET /sensors/ | User: adhik | IP: 127.0.0.1
INFO 2026-04-06 10:15:01,681 [RESPONSE] GET /sensors/ | Status: 200 | Duration: 0.02s
INFO 2026-04-06 10:15:04,612 [REQUEST] GET /readings/ | User: adhik | IP: 127.0.0.1
INFO 2026-04-06 10:15:04,646 [RESPONSE] GET /readings/ | Status: 200 | Duration: 0.04s
INFO 2026-04-06 10:15:06,743 [REQUEST] GET /actuators/ | User: adhik | IP: 127.0.0.1
INFO 2026-04-06 10:15:06,775 [RESPONSE] GET /actuators/ | Status: 200 | Duration: 0.04s
INFO 2026-04-06 10:15:08,541 [REQUEST] GET /control/ | User: adhik | IP: 127.0.0.1
INFO 2026-04-06 10:15:08,559 [RESPONSE] GET /control/ | Status: 200 | Duration: 0.02s
INFO 2026-04-06 10:26:36,771 [REQUEST] GET /login/ | User: adhik | IP: 127.0.0.1
INFO 2026-04-06 10:26:36,775 [RESPONSE] GET /login/ | Status: 200 | Duration: 0.01s
INFO 2026-04-06 10:27:07,386 [REQUEST] POST /login/ | User: adhik | IP: 127.0.0.1
INFO 2026-04-06 10:27:08,021 [RESPONSE] POST /login/ | Status: 302 | Duration: 0.64s
INFO 2026-04-06 10:27:08,093 [REQUEST] GET / | User: adhik | IP: 127.0.0.1
INFO 2026-04-06 10:27:08,105 [RESPONSE] GET / | Status: 200 | Duration: 0.02s
INFO 2026-04-06 10:27:09,563 [REQUEST] GET / | User: adhik | IP: 127.0.0.1
INFO 2026-04-06 10:27:09,574 [RESPONSE] GET / | Status: 200 | Duration: 0.02s
INFO 2026-04-06 10:27:35,321 [REQUEST] GET /robots/ | User: adhik | IP: 127.0.0.1
INFO 2026-04-06 10:27:35,341 [RESPONSE] GET /robots/ | Status: 200 | Duration: 0.03s
INFO 2026-04-06 10:28:30,514 [REQUEST] GET /robots/add/ | User: adhik | IP: 127.0.0.1
INFO 2026-04-06 10:28:30,516 [RESPONSE] GET /robots/add/ | Status: 200 | Duration: 0.01s
INFO 2026-04-06 10:28:52,107 [REQUEST] GET /sensors/ | User: adhik | IP: 127.0.0.1
